map_id,run_index,sensor_seed,planner_seed,gained_true_utility,total_true_utility,task_completion,coverage_efficiency,global_final_rmse,global_mean_rmse,global_auc_rmse,occupied_final_rmse,occupied_mean_rmse,occupied_auc_rmse,weighted_final_rmse,weighted_mean_rmse,weighted_auc_rmse,final_total_variance,variance_reduction
110,0,233,110042,105941.0,200285.0,0.5289512444766208,0.003502988374017356,38.42137908935547,60.094929962158204,8944.471332550049,39.83777618408203,62.31386088053385,9274.735359191895,54.33765411376953,85.29287752787272,12690.190399169922,18022.31801131605,7987.681988683951
110,1,233,110043,110165.0,200285.0,0.550041191302394,0.0036426568960423447,31.78483772277832,62.98289839426676,9380.984868049622,32.95420837402344,65.3077941385905,9727.26713180542,44.345550537109375,91.42352272033692,13614.78322982788,18299.922085179343,7710.077914820657
110,2,233,110044,102855.0,200285.0,0.5135432009386625,0.0034009483505871687,31.649351119995117,53.54190757751465,7964.903988838196,32.81486511230469,55.518342157999676,8258.919006347656,43.905120849609375,78.39629842122396,11660.919799804688,18260.23670309588,7749.763296904119
110,3,233,110045,96055.0,200285.0,0.4795915819956562,0.0031761031920242134,31.199039459228516,53.55170514424642,7966.598779678345,32.345001220703125,55.526550216674806,8260.385147094727,46.50022506713867,77.08618077596029,11463.104600906372,18014.06124492732,7995.938755072679
110,4,233,110046,101756.0,200285.0,0.508056020171256,0.0033646094051076555,31.45598602294922,53.415638033548994,7946.06023979187,32.61532211303711,55.38745684305827,8239.38598060608,47.641014099121094,77.13467798868815,11469.80878829956,18090.826270611138,7919.173729388862
111,0,234,111042,65432.0,150108.0,0.43589948570362674,0.0028867515609511704,35.38192367553711,44.327709401448566,6586.971719741821,38.83057403564453,48.65172871907552,7229.5078201293945,56.565040588378906,71.10337824503581,10560.542057037354,17091.501102766648,8918.498897233352
111,1,234,111043,62658.0,150108.0,0.41741945799024704,0.0027643672714585898,37.52051544189453,47.64502955118815,7083.50044631958,41.179443359375,52.29137715657552,7774.280651092529,66.12548828125,81.7547994486491,12153.47501373291,17433.129914948797,8576.870085051203
111,2,234,111044,77152.0,150108.0,0.5139766035121379,0.003403818566305549,27.804292678833008,54.01524569193522,8043.890978813171,30.508989334106445,59.2827897644043,8828.32776927948,50.72965621948242,95.4066088104248,14208.944334030151,18811.41159789409,7198.58840210591
111,3,234,111045,65543.0,150108.0,0.4366389532869667,0.00289164869726468,47.59646224975586,55.322508316040036,8230.084287643433,52.239234924316406,60.72033810933431,9033.094898223877,78.65779113769531,91.25697992960612,13572.535934448242,18396.125908227063,7613.874091772937
111,4,234,111046,96298.0,150108.0,0.6415247688331068,0.004248508402868257,15.73023509979248,35.9661475499471,5342.563286304474,17.256494522094727,39.47137711842855,5863.2421197891235,27.351789474487305,61.032047513326006,9064.44907283783,18550.69744746678,7459.30255253322
